market_id,adm_cd,adm_nm,overlap_ratio,relation_type,source_id,geometry_version,confidence
SEOUL-JUNG-SINDANG-YAKSU,11140650,신당5동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-JUNG-SINDANG-YAKSU,11140615,신당동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-YONGSAN-ITAEWON,11170650,이태원1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HANNAM,11170685,한남동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HAEBANGCHON-GYEONGNIDAN,11170660,이태원2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HAEBANGCHON-GYEONGNIDAN,11170520,용산2가동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HAEBANGCHON-GYEONGNIDAN,11170510,후암동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-YONGSAN-YONGLIDAN-SINYONGSAN,11170625,한강로동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-YONGSANSTN,11170625,한강로동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-YONGSANSTN,11170650,이태원1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-YONGSAN-YONGSANSTN,11170590,용문동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-YONGSAN-NAMYEONG-SOOKMYUNG,11170530,남영동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-NAMYEONG-SOOKMYUNG,11170555,청파동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-NAMYEONG-SOOKMYUNG,11170560,원효로1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HYOCHANG-HUAM,11170590,용문동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HYOCHANG-HUAM,11170580,효창동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HYOCHANG-HUAM,11170510,후암동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HYOCHANG-HUAM,11170555,청파동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-YONGSAN-HYOCHANG-HUAM,11170530,남영동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-SEONGSU,11200690,성수2가3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-SEONGSU,11200660,성수1가2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-SEONGSU,11200650,성수1가1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-SEONGSU,11200670,성수2가1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-SEOULFOREST,11200660,성수1가2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
